ID,UNCode,CountryName,SDGI_Rank,SDGI_Score,GeometricRank,GeometricScore,UNReg,UnRegSub,SDGIRegion,SDG1_190DAY_im,SDG1_OECDPOV,SDG2_CRLYLD,SDG2_NUE,SDG2_OBESITY,SDG2_STUNTING,SDG2_UNDERNSH_im,SDG2_WASTING,SDG3_FERTILITY,SDG3_HALE,SDG3_MATMORT,SDG3_NEONAT,SDG3_PHYS,SDG3_SMOKE,SDG3_SWB,SDG3_TB,SDG3_TRAFFIC,SDG3_U5MORT,SDG3_VAC,SDG4_LITERACY,SDG4_PISA,SDG4_PRIMARY,SDG4_SCHLYRS,SDG4_TERTIARY,SDG4_UPSEC,SDG5_CONTRA,SDG5_EDAT,SDG5_LFPR,SDG5_PARL,SDG5_PAYGAP,SDG6_FRESHWAT,SDG6_IMPSAN,SDG6_IMPWAT,SDG7_CO2TWH,SDG7_ELECAC,SDG7_NSFUELAC,SDG7_REN,SDG8_ADJGROWTH,SDG8_ATMS,SDG8_CLABOR_im,SDG8_EMPOP,SDG8_UNEMP,SDG8_YNEET,SDG9_INFRQUAL,SDG9_INTUSE,SDG9_LOGPERF,SDG9_MOBUSE,SDG9_PATENTS,SDG9_RDRES,SDG9_RD_im,SDG10_GINI,SDG10_JUSTICE,SDG10_PALMA,SDG11_PIPEDWAT,SDG11_PM25,SDG11_ROOMS,SDG12_MSW,SDG12_MSWRECYCL,SDG12_WASTEWAT,SDG13_CCVM,SDG13_CO2pCAP,SDG14_BIODIV,SDG14_CLEANWAT,SDG14_CPMA,SDG14_FISH,SDG14_FISHSTOCKS,SDG15_CPTA,SDG15_FORCHG,SDG15_REDLIST,SDG16_CPI,SDG16_GOVEFF,SDG16_HOMICIDE,SDG16_PRISON,SDG16_PRS,SDG16_SAFE,SDG16_U5REG,SDG17_GOVREV,SDG17_GOVSPD,SDG17_ODA
ECU,218,Ecuador,71,60.69,64,56.57,LAC,South America,LAC,4.429999828,,3.626699924,1.012195901,18.7,25.2,10.89999962,2.3,,66,64,10.8,1.724,,5.974999905,54,20.1,21.60000038,83,98.604636,,97.03364,14.17201,,,24.87309645,97.85401841,61.7875682,41.59999847,,2.241,84.69999695,86.90000153,1.69527897,97.19999695,95,,-1.128344285,40.57754557,3,,4.31227684,,4.589285851,43,2.497314,8.3,,,0.227789998,49.25999832,,,92.7866508,13.90796757,,1.13,,6.4,0.07,2.354017496,78.1,65.57,50,46,47.73173339,10.48387097,3.140778977,0.688819302,32,2.879376765,12.4,149,3.931034565,51.65967232,90,39.44,10.98109818,
TJK,762,Tajikistan,72,60.17,71,54.74,Asia,Central Asia,Europe & C. Asia,4.739999771,,3.153300047,0.771887366,13.6,26.8,33.20000076,9.9,54,60,32,20.5,1.918,,4.785999775,91,18.8,44.79999924,97,99.87011,,95.62497,11.24404,,,45.41120381,85.47452685,,19,,51.07,95,73.80000305,0.192982456,100,65.54936,,-1.862525345,10.41371326,10,,10.92651749,,3.761042325,17.49,2.364091,0.6,,,0.121480003,30.82999992,,,82.5553748,19.61576843,,0.89,,2.25,0.22,0.358947635,,,,,,5.555555556,0.561657677,0.981729479,26,4.059564619,1.6,130,4.200852744,84.18811718,88.4,26.939,10.89150238,
BIH,70,Bosnia and Herzegovina,73,59.90,92,49.66,Europe,Southern Europe,Europe & C. Asia,0.059999999,,3.977399826,0.7763039,17.9,8.9,,2.3,11,68,11,4,1.93,,4.948999882,42,17.7,5.400000095,86,99.68309,,98.4,13.6,,,74.28571429,76.16834182,58.77034439,21.39999962,,0.8773,94.80000305,99.90000153,1.228571429,100,54.73459,,-2.369598542,43.97342106,5.300000191,,30.25665474,,3.059406042,60.8,2.554351,,,,0.021709999,36.20999908,,,93.1229102,13.62792683,,,,3.179546173,0.04,6.196651936,74.77,63.43,0,64,,12,0.807273482,0.903267325,38,2.53633299,1.3,78,3.135922432,72.35394306,99.5,45.29,,
OMN,512,Oman,74,59.88,76,53.96,Asia,Western Asia,MENA,0,,11.53770065,0.943256302,30.9,9.8,5,7.1,13.5,66,17,5.2,2.429,,6.853000164,9.6,25.4,11.60000038,99,97.74372549,,93.73292,13.63765,,,62.67605634,82.27738395,,1.200000048,,84.71,96.69999695,93.40000153,2.209923664,97.6978302,95,,-2.879065326,,0,,6.336513996,,4.893687048,70.22,2.884615,67.3,,,0.132489994,,,,84.5218107,30.35329628,,0.7,,13.4,0.04,20.20389366,90.14,56.09,5.555555556,84,17.6,3.333333333,,0.888738473,45,4.173837,1.1,61,5.085097806,,,,6.931738853,
PRY,600,Paraguay,75,59.33,78,53.64,LAC,South America,LAC,2.190000057,,3.27670002,0.28115092,16.3,10.9,10.39999962,2.6,63,65,132,10.9,1.227,,5.877999783,43,20.7,20.5,87,98.61044862,,80.61808,11.91154,,,18.58902576,95.90435004,66.98912161,15,,0.6222,88.59999847,98,0.081125828,98.19999695,50.86099,,-1.042184202,23.33701913,27.60000038,,4.938370705,,2.545981737,43,2.4553,4.9,,,0.05483,52.41999817,,,92.9306005,14.12626171,,0.21,,0.155,0.13,0.84191525,,,,,,13.79310345,18.35874235,0.947796191,27,2.933365933,9.7,118,3.620149674,41.68505476,76.1,22.113,14.02660179,
CHN,156,China,76,59.07,69,55.80,Asia,Eastern Asia,East & South Asia,11.18000031,,5.886399746,0.758297018,6.9,9.4,9.300000191,2.3,6.2,68,27,5.5,1.491,,5.139999866,68,18.8,10.69999981,99,99.64229029,,98.3,13.07282,,,5.411163187,83.60755637,,23.60000038,,19.51,76.5,95.5,,100,54.31266,,3.509179281,55.03088811,,,4.617517948,,4.475762133,49.3,3.669272,21.4,,,1.983049989,42.06000137,,,87.1542813,54.35615158,,1.02,,18.17991224,0.34,6.710301876,78.84,34.74,3.529411765,37,14.86,31.04761905,4.208052975,0.747581733,37,4.006861266,1,121,4.447523909,74.97979077,,28.189,,
JAM,388,Jamaica,77,59.05,72,54.70,LAC,Caribbean,LAC,1.700000048,,1.139000058,1.063601147,27.2,5.7,8.100000381,3,45.7,63,89,11.6,0.411,,5.709000111,4.7,11.5,15.69999981,92,95.87227,,92.1,12.35561,,,16.88089117,106.0702875,79.0598325,12.69999981,,7.5,81.80000305,93.80000305,1.785714286,92.63343811,89.14409,,-3.93589856,32.50030884,3.299999952,,13.71552086,,3.982848152,40.5,2.842107,30.8,,,,45.50999832,,,90.1919771,11.13467884,,0.18,,10,0.1,2.87265563,77.32,61.49,16.66666667,3,30.35,8.333333333,4.692183924,0.713841553,41,3.204617537,39.3,152,4.508160909,65.23140775,98.1,27.201,,
TTO,780,Trinidad and Tobago,78,59.05,97,48.51,LAC,Caribbean,LAC,0,,1.345800042,1.28166471,31.1,5.3,7.400000095,5.2,35.5,60,63,13.2,1.175,,6.168000221,22,14.1,20.39999962,92,99.57905,,95.18178,12.34507333,,,36.39143731,98.25489705,71.84873689,31,,8.755,91.5,95.09999847,2.421052632,99.82779694,95,,-2.306148173,40.84317632,0.699999988,,3.823844194,,4.344140918,65.1,,18.9,,,0.043480001,,,,83.5203292,9.167360306,,14.4,,5.250644898,0.04,37.1400528,87.4,67.56,0,25,22.34,14.28571429,4.430033765,0.795894446,39,3.20767521,28.3,281,4.02535853,57.13145047,96.6,,,
IRN,364,"Iran, Islamic Rep.",79,58.55,77,53.92,Asia,Southern Asia,East & South Asia,0.079999998,,1.963400006,0.778387584,26.1,6.8,5,4,37.7,64,25,9.5,0.89,,4.68599987,22,32.1,15.5,99,98.03424627,,98.46352,15.09423,,,28.36166924,90.31505251,19.2,3.099999905,,67.85,90,96.19999695,1.94489645,100,95,,-4.27965919,56.58696918,11.39999962,,10.49743271,,3.929050417,39.35,2.42,1.2,,,0.74879998,38.27999878,,,94.330583,31.88947487,,0.16,,2.774175359,0.17,7.802145004,76.87,62.01,28.57142857,58,35.3568599,27.77777778,0.201827968,0.839698284,27,3.145049375,4.1,284,3.947152859,55.38447654,98.6,14.083,11.11754513,
BWA,72,Botswana,80,58.42,70,55.17,Africa,Southern Africa,Africa,18.23999977,,0.398299992,,22.4,31.4,24.10000038,7.2,39,54,129,21.9,0.399,,4.331999779,385,23.6,43.59999847,95,96.0374,,90.33255,12.49301,,,25.04684572,95.80573951,79.78883724,9.5,,1.585,63.40000153,96.19999695,6.111111111,53.24000168,62.59297,,0.103665291,30.28354068,9,,18.60749626,,3.800518193,18.5,2.233136,74.1,,,0.532859981,,,,96.4783516,9.699032784,,1.03,,0.95,0.05,2.323344946,,,,,,36.36363636,2.457037562,0.978611544,63,4.087369334,18.4,205,4.892110668,40.31296397,72.2,37.824,15.44970703,
PER,604,Peru,81,58.38,81,53.35,LAC,South America,LAC,3.700000048,,4.006599903,0.815639083,21.1,17.5,7.5,0.4,65,67,68,8.2,1.132,,5.823999882,120,13.9,16.89999962,88,98.69816345,375,91.83842,13.0655,,,36.52849741,88.83287248,77.77777723,22.29999924,,0.7213,76.19999695,86.69999695,1.048387097,91.19999695,63.6029,,-0.521414519,55.48117828,33.5,,3.515837431,,3.152927609,40.2,2.720363,2.9,,,,48.13999939,,,86.4449471,12.8967762,,1,,20.9755,0.11,1.783233166,70.99,54.52,50,73,6.11,23.23943662,2.49763695,0.718766716,36,2.80518837,9.6,202,3.753741906,40.38347458,95.6,22.267,,
BTN,64,Bhutan,82,58.17,74,54.18,Asia,Southern Asia,East & South Asia,2.200000048,,3.130899906,0.775597496,6.7,33.6,,5.9,28.4,59,148,18.3,0.259,,5.252999783,164,15.1,32.90000153,97,74.40520688,,88.06013,12.62022,,,15.31707317,47.87583546,81.69209816,8.5,,0.4332,50.40000153,100,,75.56256104,60.2841,,0.887079745,22.18166604,2.900000095,,2.5886693,,3.992615567,34.37,2.182645,15.6,,,,38.06000137,,,79.9183483,28.11845016,,1.46,,0,0.06,0.766205609,,,,,,8.695652174,0.528586199,0.79943165,65,4.155651468,1.7,135,4.547631587,63.09199426,99.9,28.905,,
DZA,12,Algeria,83,58.14,79,53.58,Africa,Northern Africa,MENA,,,1.378399968,0.762744367,24.8,11.7,5,4.1,12.4,62,140,15.5,1.207,,5.605000019,78,23.8,25.5,95,91.77964052,,97.30394,13.96534,,,28.95442359,62.49999999,22.50755333,31.60000038,,66.92,87.59999847,83.59999847,1.901502504,100,95,,-2.106337342,7.288244392,5,,10.47339153,,3.376275587,18.09,2.540816,0,,,0.066040002,,,,82.414714,19.26350403,,1.21,,34.63991667,0.05,3.316037893,82.52,60.67,20,77,19.97,27.11864407,6.845082272,0.904063435,36,3.274635201,0.7,162,3.748118037,52.77091672,99.4,35.955,11.03808594,
MNG,496,Mongolia,84,58.06,73,54.23,Asia,Eastern Asia,East & South Asia,0.379999995,,1.646800041,0.993677093,16.7,10.8,20.5,1,26.7,60,44,11.1,2.837,,4.874000072,170,21,22.39999962,98,98.46024575,,94.74501,14.59402,,,28.57142857,105.7713651,82.67254111,14.5,,1.583,59.70000076,64.40000153,3.74,89.76255798,27.57677,,4.455996993,58.77598649,15.19999981,,7.071959496,,3.266249979,27,2.287051,18.2,,,0.27392,36.52000046,,,33.0325894,8.327718735,,0.66,,19.8,0.12,6.915146351,,,,,,16.17647059,9.440664587,0.945557308,39,3.202003665,9.7,287,3.67840277,51.94756952,99,31.298,11.75935459,
SAU,682,Saudi Arabia,85,58.03,113,39.02,Asia,Western Asia,MENA,0,,3.942899942,0.819001167,34.7,9.3,5,11.8,17.6,65,12,7.9,2.491,,6.410999775,12,27.4,14.5,98,99.22176778,,97.38652,16.27418,,,49.81132075,83.90208448,26.08695705,19.89999962,,943.3,100,97,1.663380282,97.6978302,95,,0.873247232,74.02676347,0,,5.795867443,,4.942351193,63.7,3.34218,85.1,,,0.073380001,,,,,54.11510086,,1.3,,28.54435925,0.02,18.07245064,87.73,72.82,20,72,45.25,10.20408163,0,0.912780219,52,4.418430699,0.8,162,5.338565189,76.83067345,,,8.375777245,
LBN,422,Lebanon,86,57.99,84,52.88,Asia,Western Asia,MENA,,,3.38380003,0.837335786,31.9,16.5,5,6.6,,70,15,4.8,3.2,,4.839000225,16,22.6,8.300000191,79,98.71478885,,93.44093,13.7537,,,46.36174636,92.43658584,,3.099999905,,24.34,80.69999695,99,1.131868132,100,95,,-2.049340044,44.33682606,1.899999976,,7.058224678,,2.356060701,74.7,2.527778,41.8,,,,,,,77.1184695,23.56331444,,1.18,,15.08356164,0.06,4.66831255,88.77,64.43,0,47,,0,4.177742024,0.916591604,28,2.686931697,2.2,118,4.065689465,60.47004687,99.5,19.788,,
SUR,740,Suriname,87,57.98,82,53.24,LAC,South America,LAC,,,4.433000088,0.774805721,26.1,8.8,8,5,65.3,65,155,11.5,0.911,,6.269000053,38,19.1,21.29999924,85,98.37664295,,,12.6909,,,28.64450128,91.03030938,64.7291968,25.5,,0.6221,79.19999695,94.80000305,,100,88.05668,,-1.527969057,47.04094827,4.099999905,,7.766939163,,,40.08,,13.1,,,,52.88000107,,,76.9421898,11.48211765,,1.36,,0.01,0.27,3.649913311,88.68,63.5,50,7,5.22,15.38461538,0.701751527,0.978080804,36,,6.1,186,,60.23831646,98.9,24.549,,
VNM,704,Vietnam,88,57.62,83,52.93,Asia,South-Eastern Asia,East & South Asia,3.230000019,,5.577399731,0.631158758,3.6,19.4,11,5.7,36,66,54,11.4,1.19,,5.360000134,140,24.5,21.70000076,95,97.09167345,515.666687,97.96511,11.9,,,21.42377435,88.71989861,89.06439895,24.29999924,,9.259,78,97.59999847,1.024409449,99,43.7808,,-0.07219119,23.59304334,16.39999962,,2.058134079,,3.46707112,48.31,3.112863,18.8,,,,35.56999969,,,61.3066205,25.4715519,,1.8,,0.1375,0.24,1.97143352,79.24,56.92,7.692307692,3,0.45,2.777777778,9.076539684,0.74662179,31,3.407291069,3.3,145,3.909753896,60.55325259,95,22.904,,
BOL,68,Bolivia,89,57.47,85,52.50,LAC,South America,LAC,7.699999809,,1.937999964,0.528970059,17.1,18.1,15.89999962,1.6,115.6,59,206,19.6,0.473,,5.889999866,120,23.2,38.40000153,94,98.99588481,,81.60256,13.15285,,,49.60835509,84.78139777,75.54479743,53.09999847,,0.3638,50.29999924,90,2.135802469,90.5,70.97138,,-1.097021609,34.711929,26.39999962,,3.637384653,,3.308116452,39.02,2.171007,13.9,,,0.157000005,56.29000092,,,96.1371649,10.88647461,,0.33,,11.29666667,0.11,1.599498987,,,,,,26.78571429,5.260436717,0.868153632,34,3.185075937,12.1,140,3.439012321,43.89882727,75.8,39.155,12.65896225,
NIC,558,Nicaragua,90,57.39,87,51.27,LAC,Central America,LAC,10.82999992,,1.945199966,0.969403928,17.1,23,16.60000038,1.5,92,64,150,9.8,0.901,,5.828000069,58,15.3,22.10000038,98,87.00925049,,91.82131,11.509,,,12.98701299,106.0137457,74.14187863,41.29999924,,0.9392,67.90000153,87,1,77.90000153,45.92769,,-1.251965655,11.37917247,14.5,,5.957036972,,3.227334897,17.6,2.202562,1.3,,,,40.47000122,,,91.3562162,6.979227543,,1.1,,8.4,0.1,0.84354198,72.78,58.73,16.66666667,54,28.06910659,38.70967742,11.83509605,0.854951347,27,2.800580399,11.3,153,3.246180566,55.89743966,84.7,23.374,,
COL,170,Colombia,91,57.21,89,50.59,LAC,South America,LAC,6.119999886,,3.290499926,1.048856134,21,12.7,8.800000191,0.9,84,67,64,8.5,1.471,,6.477000237,33,16.8,15.89999962,90,98.2393694,392.6666565,87.72414,13.54554,,,16.96869852,101.0762542,71.0784327,19.89999962,,0.4987,81.09999847,91.40000153,1.055641422,97,85.72544,,-0.123326822,40.56807911,9.699999809,,9.952443123,,3.16652782,52.57,2.442362,25,,,0.172670007,55.90999985,,,94.0691931,12.63048744,,0.95,,4.6,0.06,1.560629129,71.21,46.12,11.11111111,28,60.32339702,8.219178082,3.451527247,0.739911716,37,3.039393647,30.8,245,4.052664113,46.76623738,96.5,28.262,11.91434383,
DOM,214,Dominican Republic,92,57.11,93,49.32,LAC,Caribbean,LAC,2.319999933,,4.007199764,1.066059203,23.9,7.1,12.30000019,2.4,90,63,92,21.7,1.49,,4.885000229,60,29.3,30.89999962,88,97.47243226,,86.53122,13.08336,,,16.93548387,106.9667514,67.10334865,20.79999924,,30.37,84,84.69999695,1.11299435,98,93.11803,,0.370285458,33.40007477,12.80000019,,14.42018032,,3.457427543,49.58,2.610672,25.4,,,,47.20000076,,,75.7951188,12.48988724,,1.18,,5.904227642,0.05,2.18290782,83.19,55.99,20,19,2.22,40,8.141009096,0.735322123,33,3.172680333,22.1,240,4.010263779,36.44813772,81.1,14.558,,
GAB,266,Gabon,93,56.21,90,50.43,Africa,Middle Africa,Africa,7.96999979,,1.68809998,1.016827614,17.6,17.5,5,3.4,115,54,291,23.2,0.292,,3.895999908,444,22.9,50.79999924,61,88.50414277,,92.09732056,12.49507,,,64.23017107,134.214619,68.55670275,14.19999981,,0.0838,41.90000153,93.19999695,1.166666667,89.30000305,74.41801,,-0.673559782,14.3905458,13.39999962,,20.53826714,,3.079895828,9.81,2.083333,0,,,0.580869973,41.45000076,,,71.8284713,10.9204874,,0.45,,0,0.07,1.418165803,65.87,65.91,100,62,57.96,50,1.123192485,0.961718769,34,3.389185647,9.1,196,4.184283048,34.81420592,89.6,30.973,,
SLV,222,El Salvador,94,55.64,95,49.07,LAC,Central America,LAC,3.25,,2.485699892,1.015161614,21.8,14,12.39999962,2,72,63,54,8.3,1.596,,6.130000114,41,21.1,16.79999924,93,96.54508826,,91.03867,12.25576,,,22.1642764,88.85652036,61.09045985,32.09999847,,8.062,75,93.80000305,1,93.69999695,77.89086,,-2.597599158,33.1150929,19,,6.419799328,,4.032832063,29.7,2.633917,6,,,0.03112,48.33000183,,,87.8687623,12.91867352,,1.13,,0.62,0.06,1.103998542,77.19,57.61,0,49,95.01,0,5.896393027,0.829374237,39,3.125414803,41.2,422,3.719565238,36.34610431,98.6,18.464,10.39441109,
PHL,608,Philippines,95,55.54,91,50.42,Asia,South-Eastern Asia,East & South Asia,13.10999966,,3.637300014,0.772154057,5.1,30.3,13.5,7.9,57,60,114,12.6,1.153,,5.072999954,288,10.5,28,79,97.75079836,,90.22618,11.27717,,,47.06397897,105.4156171,64.33121019,27.20000076,,17.03,73.90000153,91.80000305,1.189907039,87.5,50.45161,,-0.713209525,23.6813305,11.10000038,,6.666004658,,3.3050247,39.69,2.6,0,,,0.109630004,42.97999954,,,59.0351477,8.602252007,,0.5,,0.53125,0.11,0.867845356,77.12,49.49,47.05882353,89,8.6,17.88617886,4.092463452,0.64969738,35,3.384768242,8.8,111,4.116854763,62.26817386,90.2,18.499,7.917971134,
CPV,132,Cabo Verde,96,55.48,86,51.56,Africa,Western Africa,Africa,17.56999969,,0.035700001,,13,,9.399999619,,,64,42,12.2,0.306,,,138,26.1,24.5,93,98.12896699,,98.05541,13.4652,,,24.14529915,,75.81601976,20.79999924,,6.767,72.19999695,91.69999695,,70.56256104,68.33842,,-3.988427929,47.71871076,6.400000095,,10.76328564,,3.606790824,40.26,,42.6,,,0.072640002,50.52000046,,,62.9403235,43.06526566,,0.5,,19.4,,0.85906142,90.1,70.01,0,72,42.85,0,1.357202213,0.877190655,55,3.59391778,10.3,267,4.040033991,,91,24.227,9.469410896,
LKA,144,Sri Lanka,97,54.80,116,38.16,Asia,Southern Asia,East & South Asia,1.690000057,,3.801399946,0.904328827,6.5,14.7,22,21.4,20.3,65,30,5.4,0.68,,4.270999908,65,17.4,9.800000191,99,98.1579253,,94.13639,13.71335,,,29.0805417,98.54752712,46.70255631,4.900000095,,24.53,95.09999847,95.59999847,1.141666667,88.66255951,25.39852,,1.309471595,17.05897531,2.5,,4.69761467,,5.054661843,25.8,2.23151,7.8,,,0.156639993,36.40000153,,,72.8573009,17.1462574,,5.1,,0,0.14,0.729920864,89.16,61.81,0,35,12.45,12.90322581,2.865138402,0.571313216,37,3.865479418,3.4,132,4.319000533,73.52891883,97.2,12.396,5.125112057,
IDN,360,Indonesia,98,54.38,96,48.81,Asia,South-Eastern Asia,East & South Asia,15.89999962,,5.095499992,0.719592532,5.7,36.4,7.599999905,13.5,47,62,126,13.5,0.204,,5.399000168,399,15.3,27.20000076,77,98.77800124,384.3333435,92.21828,12.98776,,,20.29580937,86.03949244,,17.10000038,,5.612,60.79999924,87.40000153,1.969387755,96,45.29918,,0.110376791,49.62922175,6.900000095,,5.825447083,,3.816054923,17.14,2.918715,24.2,,,0.083319999,38.1407547,,,32.5251242,14.76866913,,0.52,,0.0175,0.08,2.303781033,76.43,50.15,12.78195489,85,22.00295678,3.553299492,11.49730216,0.767806212,36,3.922269861,0.6,59,4.316818563,78.99058221,66.6,17.138,6.7190938,
ZAF,710,South Africa,99,53.78,118,37.42,Africa,Southern Africa,Africa,16.55999947,,4.320399761,0.606118902,26.8,23.9,5,4.7,54,52,138,11,0.776,,4.642000198,834,25.1,40.5,70,98.88204097,,89.55526,13.55794,,,16.93722944,95.57440506,76.31579294,42,,24.23,66.40000153,93.19999695,1.660347551,85.40000153,84.93672,,-2.882389754,66.19826566,,,25.13574219,,4.310185149,49,3.2,58.5,,,0.761600018,63.13999939,,,91.6923535,14.32667828,,2,,27.85875,0.09,9.257216454,84.74,59.28,13.33333333,49,20.93170052,21.21212121,17.17185941,0.780582731,44,4.096786162,31,294,5.471041663,39.80251288,85,27.625,15.92772007,
KWT,414,Kuwait,100,52.54,129,32.94,Asia,Western Asia,MENA,0,,,0.803435721,39.7,5.8,5,2.4,7.1,68,4,3.2,1.793,,6.295000076,21,18.7,8.600000381,94,98.78226205,,92.10572,14.746555,,,38.17567568,102.3584556,70.554272,1.5,,2075,100,99,1.378688525,97.6978302,95,,0.226015271,58.50080618,0,,3.522761822,,4.103777095,78.7,3.159088,5.9,,,0.094939999,,,,,49.13330078,,5.72,,43,0.09,28.10266113,89.16,62.86,0,38,,14.28571429,,0.875569039,49,3.493208686,0.4,137,4.339039333,85.83139231,,,6.742463112,
GUY,328,Guyana,101,52.35,112,39.16,LAC,South America,LAC,,,4.20579958,,22.9,12,10.60000038,6.4,101,54,229,22.8,0.214,,,103,17.3,39.40000153,98,93.0989419,,71.53248,10.29144,,,38.98500577,111.4856429,,30.39999962,,0.5332,83.69999695,98.30000305,,79.46676636,92.98187,,-0.403765913,19.04754575,18.29999924,,11.20344067,,3.559736679,37.35,2.395066,0,,,,,,,75.7733322,8.746643066,,5.33,,0,0.43,2.357722044,82.21,70.51,,3,40.08,,0.567833338,0.918291959,29,3.426269634,17,260,3.720760367,46.69141275,87.9,25.669,,
HND,340,Honduras,102,51.78,100,45.17,LAC,Central America,LAC,18.93000031,,1.657800078,1.041751209,18.2,22.7,12.19999981,1.4,101,64,129,11,0.372,,4.788000107,43,17.4,20.39999962,85,94.98095416,,89.33168,11.10111,,,23.47908745,101.8612424,51.59500908,25.79999924,,1.744,82.59999847,91.19999695,1.049382716,82.19999695,49.00905,,-3.520095834,24.64045897,15.30000019,,3.886053324,,3.719312788,19.08,2.242481,11.7,,,,56.95000076,,,97.4323136,8.672456741,,1.45,,15.535,0.1,1.103745103,82.13,58.64,0,35,78.98,14.28571429,7.396416813,0.745330388,31,3.432064003,90.4,153,4.145053024,48.21651476,93.6,22.947,,
NPL,524,Nepal,103,51.53,99,45.95,Asia,Southern Asia,East & South Asia,14.94999981,,2.747900009,0.717504543,3.3,37.4,7.800000191,11.3,71,59,258,22.2,0.209,,4.513999939,158,17,35.79999924,88,82.35368674,,98.47754,12.35305,,,37.06140351,50.56179775,90.53738479,29.5,,4.518,45.79999924,91.59999847,1.416666667,76.30000305,18.0367,,-3.055097207,8.875449877,37.40000153,,3.05477643,,2.740929864,15.44,2.261434,10.9,,,0.30219999,32.81999969,,,49.8612386,46.08631516,,0.12,,0,0.1,0.159474447,,,,,,3.703703704,0.746066765,0.824344677,27,3.04307165,2.9,48,3.728963096,60.46221706,42.3,19.291,11.01693439,
GHA,288,Ghana,104,51.41,94,49.16,Africa,Western Africa,Africa,25.14999962,,1.703400016,0.826565539,12.2,18.8,5,4.7,65,54,319,28.3,0.096,,4.632999897,165,26.2,61.59999847,92,85.71614763,,88.87639,11.50262,,,63.87035272,70.96290925,94.03893664,10.89999962,,1.747,14.89999962,88.69999695,1.054263566,64.06256104,16.29211,,-0.512605336,8.19539136,21.79999924,,6.264291763,,3.02630451,18.9,2.669054,39.9,,,0.376549989,42.75999832,,,32.2204698,26.53877258,,0.09,,10.2483871,0.1,0.404379785,78.19,60.14,,80,45.76,67.5,8.863045372,0.845421123,47,3.773055774,6.1,54,4.178108799,78.2421008,62.5,16.463,13.90796757,
IRQ,368,Iraq,105,50.87,106,42.65,Asia,Western Asia,MENA,,,2.187200069,0.893839505,23.8,22.6,22.79999924,7.4,82,61,50,18.4,0.607,,4.677000046,43,20.2,32,57,82.15785,,,10.08247,,,45.63380282,66.1038961,,26.5,,73.44,85.59999847,86.59999847,1.875,100,95,,-0.432212208,1.487679508,4.699999809,,16.89544678,,,11.3,2.184437,,,,0.033780001,30.86000061,,,82.9299811,32.56874084,,,,8.290661781,0.07,4.201635361,83.76,43.54,0,60,,0,0.772814602,0.82056471,16,,8,110,,60.6659829,99.2,42.575,,
GTM,320,Guatemala,106,50.01,103,43.67,LAC,Central America,LAC,11.52999973,,2.117799997,0.991349002,18.6,48,15.60000038,1.1,91,62,88,13.4,0.932,,6.123000145,57,19,29.10000038,67,93.6534708,,85.50401,10.69,,,35.7696567,95.90235336,48.96719045,13.89999962,,2.599,63.90000153,92.80000305,1.232323232,78.5,43.30219,,-2.951825543,35.84024278,25.79999924,,2.73955965,,4.028380503,23.4,2.535714,4.9,,,0.048099998,55.88999939,,,97.4101115,12.40108871,,2,,5.373,0.09,0.748055041,88.06,57.71,0,86,36.57,15.38461538,12.94212051,0.722600452,28,3.288690192,39.9,105,4.213645375,50.78171035,96.7,11.642,9.408969879,
LAO,418,Lao PDR,107,49.91,98,46.01,Asia,South-Eastern Asia,East & South Asia,29.95000076,,4.507799625,,3.5,43.8,18.5,6.4,94,57,197,30.1,0.182,,4.875999928,189,14.3,66.69999695,87,83.93106284,,97.28851,10.57806,,,35.26011561,64.04927644,,25,,1.047,70.90000153,75.69999695,,70,5,,0.535363573,17.41098236,10.10000038,,1.607627273,,3.924305357,14.26,2.20625,2.5,,,,36.74000168,,,63.9072619,27.47712708,,0.7,,0,0.19,0.188910499,,,,,,6.666666667,8.556192284,0.81359891,25,3.818860158,5.9,69,3.56658289,74.52916724,74.8,23.924,,
NAM,516,Namibia,108,49.88,125,34.62,Africa,Southern Africa,Africa,22.60000038,,0.421000004,1.040450951,18.9,23.1,42.29999924,7.1,82,58,265,15.9,0.374,,,561,23.9,45.40000153,83,87.09541209,,87.67561,11.34352,,,23.79182156,103.2679739,98.38491988,41.29999924,,0.7063,34.40000153,91,2.615384615,47.2625618,45.1244,,0.132432223,53.68179177,,,25.49324226,,4.707376809,14.84,2.570793,34.2,,,0.144409999,63.90000153,,,69.2546673,8.319452286,,0.5,,13,0.18,1.239160538,88.69,77.44,83.33333333,35,65.97,55.55555556,31.03202321,0.965817026,53,4.008241473,17.2,191,5.078814731,44.43652119,78,30.298,16.3770752,
